0,1,2,3,4,5,6,7
"insuficiencia de información. Ambas afirmaciones, en los términos planteados, no resultan",,,,,,,
compatibles.,,,,,,,
"Sobre este punto, cabe precisar además que, si bien para este Coordinador la transparencia",,,,,,,
"en la tramitación de estas solicitudes es muy relevante, la facultad de evaluar y autorizar",,,,,,,
"desconexiones 
y 
trabajos",sobre,,instalaciones,"del 
sistema",corresponde,legal,y
"reglamentariamente a este organismo, en ejercicio de sus atribuciones de coordinación de",,,,,,,
"la  operación  del  Sistema  Eléctrico  Nacional,",,,,y  no  a,las  empresas,,coordinadas
"individualmente consideradas. Por ello, las observaciones que éstas formulen pueden ser",,,,,,,
"consideradas como antecedentes dentro del proceso de evaluación, pero la decisión final",,,,,,,
de  aceptar  o  no  un  curso  forzoso  corresponde  a  este  Coordinador  sobre  la  base  de  la,,,,,,,
normativa vigente y de los antecedentes técnicos disponibles.,,,,,,,
III. Medidas operacionales adoptadas,,,,,,,
"Por  otra  parte,  en  relación  con  las  medidas  operacionales  solicitadas  por  Acciona,  cabe",,,,,,,
señalar que las condiciones y medidas dispuestas por el Coordinador para el período de,,,,,,,
"ejecución  de  los  trabajos  se  encuentran  contenidas  en  la  Minuta  DAOP  N°01-20261,  de",,,,,,,
"fecha 13 de marzo en curso, cuya copia se acompaña a la presente comunicación.",,,,,,,
Dichas medidas han sido definidas considerando las exigencias de seguridad y operación,,,,,,,
"económica  del  sistema,  la  disponibilidad  de  recursos  de  generación,  particularmente  de",,,,,,,
"centrales de ciclo combinado y unidades vapor-carbón de la zona centro-sur, así como la",,,,,,,
evaluación  del  estado  de,la,"instalación,",los,riesgos  asociados  a,los,trabajos  y,la
disponibilidad  de  los  recursos  y  medios  necesarios  para  su  adecuada  materialización.,,,,,,,
"Adicionalmente, 
se",consideran,los,límites  de,,transferencia  aplicables  durante,,la
intervención  y  la  adopción  de  medidas  de  coordinación  y  seguimiento  operativo  durante,,,,,,,
toda la ventana de ejecución autorizada.,,,,,,,
"Sin otro particular, saluda atentamente a usted,",,,,,,,
